Identifier, Description, Identifier from Copilot, Title from Copilot
ISM-2086,"The source and integrity of artificial intelligence models, structures and weights are verified.",ISM-2086,Verify source & integrity of AI models
ISM-2087,The source and integrity of training data for artificial intelligence models is verified.,ISM-2087,Verify source & integrity of AI training data
ISM-2088,Data validation and verification techniques are used to ensure the reliability and accuracy of training data used by artificial intelligence models.,ISM-2088,Use data validation for AI training data reliability
ISM-2089,Artificial intelligence model performance metrics are monitored and anomalies are investigated.,ISM-2089,Monitor AI model performance & investigate anomalies
ISM-2090,Rate limiting is applied to inference queries for artificial intelligence models.,ISM-2090,Apply rate limiting to AI inference queries
ISM-2091,Resource limits are enforced for artificial intelligence models.,ISM-2091,Enforce resource limits for AI models
ISM-2092,Access control policies are implemented to enforce fine-grained permissions for artificial intelligence applications.,ISM-2092,Implement fine-grained access control for AI apps
ISM-2093,Role-based access controls are implemented for artificial intelligence applications to restrict access to sensitive data.,ISM-2093,Use role-based access control for AI apps
ISM-1924,Generative artificial intelligence applications evaluate user prompts to detect and mitigate adversarial inputs or suffixes designed to elicit unintended behaviour or assist in the generation of sensitive or harmful content.,ISM-1924,Generative AI evaluates prompts to detect adversarial inputs
ISM-2094,Content filtering is implemented by artificial intelligence applications to detect and block sensitive data exposure and improper output.,ISM-2094,Implement content filtering to prevent sensitive/harmful AI output
ISM-1922,The OWASP Mobile Application Security Verification Standard is used in the development of mobile applications.,ISM-1922,Use OWASP MASVS for mobile app development
ISM-1239,Robust web application frameworks are used in the development of web applications.,ISM-1239,Use robust web frameworks for web apps
ISM-0971,The OWASP Application Security Verification Standard is used in the development of web applications.,ISM-0971,Use OWASP ASVS for web application development
ISM-1849,The OWASP Top 10 Proactive Controls are used in the development of web applications.,ISM-1849,Use OWASP Proactive Controls in web development
ISM-1850,The OWASP Top 10 are mitigated in the development of web applications.,ISM-1850,Mitigate OWASP Top 10 in web development
ISM-2063,"If supported, web application session cookies set the HttpOnly flag, Secure flag and the SameSite flag by default.",ISM-2063,Set secure default cookie flags if supported
ISM-2064,Web application session cookies contain only digitally signed opaque bearer tokens.,ISM-2064,Use opaque signed tokens in session cookies
ISM-2065,"Web application session cookies using opaque bearer tokens that are not digitally signed use non-sequential random identifiers with a minimum of 128 bits of entropy, preferably 256 bits of entropy.",ISM-2065,Use non-sequential high-entropy IDs if opaque tokens not signed
ISM-2066,Web application sessions are centrally managed server side.,ISM-2066,Manage web sessions centrally server-side
ISM-2067,Web applications that support Single Sign On equally support Single Logout.,ISM-2067,Support SSO and Single Logout equally
ISM-1424,"Content-Security-Policy, Hypertext Transfer Protocol Strict Transport Security and X-Frame-Options are specified by web server software via security policy in response headers.",ISM-1424,"Set CSP, HSTS and X-Frame-Options via response headers"
ISM-1552,All web application content is offered exclusively using HTTPS.,ISM-1552,Offer all web content exclusively over HTTPS
ISM-1851,The OWASP API Security Top 10 are mitigated in the development of web APIs.,ISM-1851,Mitigate OWASP API Top 10 for web APIs
ISM-1241,Output encoding is performed on all output produced by web applications.,ISM-1241,Perform output encoding for web app output
ISM-1269,Database servers and web servers are functionally separated.,ISM-1269,Separate database and web servers functionally
ISM-1277,Data communicated between database servers and web servers is encrypted.,ISM-1277,Encrypt DB-web server communications
ISM-1270,Database servers are placed on a different network segment to user workstations.,ISM-1270,Place DB servers on separate network segment from workstations
ISM-1271,Network access controls are implemented to restrict database server communications to strictly defined network resources that require access to the database server.,ISM-1271,Use network access controls to restrict DB communications
ISM-1272,"If only local access to a database is required, networking functionality of database management system applications are disabled or directed to listen solely to the localhost interface.",ISM-1272,Disable DB networking if only local access required
ISM-1273,"Database servers for development, testing, staging and production environments are segregated.",ISM-1273,Segregate DB servers across environments
ISM-1243,"A database register is developed, implemented, maintained and verified on a regular basis.",ISM-1243,Database register maintained
ISM-1256,File-based access controls are applied to database files.,ISM-1256,Apply file-based access controls to DB files
ISM-0393,Databases and their contents are classified based on the sensitivity or classification of data that they contain.,ISM-0393,Classify DBs by contained data sensitivity
ISM-1255,"Database users’ ability to access, insert, modify and remove database contents is restricted based on their work duties.",ISM-1255,Restrict DB user access based on duties
ISM-1268,"The need-to-know principle is enforced for database contents through the application of minimum privileges, database views, database roles and data tokenisation.",ISM-1268,Enforce need-to-know via least privilege and tokenisation
ISM-1274,Database contents from production environments are not used in non-production environments unless the non-production environment is secured to at least the same level as the production environment.,ISM-1274,Do not use production DB content in non-prod unless secured
ISM-1537,"Security-relevant events for databases are centrally logged, including:
• access or modification of particularly important content
• addition of new users, especially privileged users
• changes to user roles or privileges
• attempts to elevate user privileges
• queries containing comments
• queries containing multiple embedded queries
• database and query alerts or failures
• database structure changes
• database administrator actions
• use of executable commands
• database logons and logoffs.",ISM-1537,Log security-relevant DB events centrally
ISM-0264,"An email usage policy is developed, implemented and maintained.",ISM-0264,Email usage policy maintained
ISM-0267,Access to non-approved webmail services is blocked.,ISM-0267,Block access to non-approved webmail
ISM-0270,"Protective markings are applied to emails and reflect the highest sensitivity or classification of the subject, body and attachments.",ISM-0270,Apply protective markings to emails
ISM-0271,Protective marking tools do not automatically insert protective markings into emails.,ISM-0271,Protective marking tools do not auto-insert markings
ISM-0272,"Protective marking tools do not allow users to select protective markings that a system has not been authorised to process, store or communicate.",ISM-0272,Protective marking tools restrict markings to authorised levels
ISM-1089,Protective marking tools do not allow users replying to or forwarding emails to select protective markings lower than previously used.,ISM-1089,Protective tools prevent downgrading markings on reply/forward
ISM-0565,"Email servers are configured to block, log and report emails with inappropriate protective markings.",ISM-0565,Configure email servers to block/log/report inappropriate markings
ISM-1023,"The intended recipients of blocked inbound emails, and the senders of blocked outbound emails, are notified.",ISM-1023,Notify senders/recipients of blocked emails
ISM-0269,"Emails containing Australian Eyes Only, Australian Government Access Only or Releasable To data are not sent to email distribution lists unless the nationality of all members of email distribution lists can be confirmed.",ISM-0269,Do not send AUSTEO/AGAO/REL emails to lists unless all recipients' nationality known
ISM-0569,Emails are routed via centralised email gateways.,ISM-0569,Route emails via central gateways
ISM-0571,"When users send or receive emails, an authenticated and encrypted channel is used to route emails via their organisation’s centralised email gateways.",ISM-0571,Use authenticated & encrypted channel to central email gateways
ISM-0570,"Where backup or alternative email gateways are in place, they are maintained at the same standard as the primary email gateway.",ISM-0570,Maintain backup/alternative gateways at same standard
ISM-0567,Email servers only relay emails destined for or originating from their domains (including subdomains).,ISM-0567,Email servers only relay for their domains
ISM-0572,Opportunistic TLS encryption is enabled on email servers that make incoming or outgoing email connections over public network infrastructure.,ISM-0572,Enable opportunistic TLS on email servers
ISM-1589,MTA-STS is enabled to prevent the unencrypted transfer of emails between email servers.,ISM-1589,Enable MTA-STS to prevent unencrypted transfers
ISM-0574,SPF is used to specify authorised email servers (or lack thereof) for an organisation’s domains (including subdomains).,ISM-0574,Use hard fail SPF records
ISM-1183,A hard fail SPF record is used when specifying authorised email servers (or lack thereof) for an organisation’s domains (including subdomains).,ISM-1183,Use hard fail SPF when specifying authorised servers
ISM-1151,SPF is used to verify the authenticity of incoming emails.,ISM-1151,Use SPF to verify incoming email authenticity
ISM-0861,DKIM signing is enabled on emails originating from an organisation’s domains (including subdomains).,ISM-0861,Enable DKIM signing for outgoing emails
ISM-1026,DKIM signatures on incoming emails are verified.,ISM-1026,Verify DKIM on incoming emails
ISM-1027,Email distribution list applications used by external senders is configured such that it does not break the validity of the sender’s DKIM signature.,ISM-1027,Ensure mailing lists don't break DKIM validity
ISM-1540,DMARC records are configured for an organisation’s domains (including subdomains) such that emails are rejected if they do not pass DMARC checks.,ISM-1540,Configure DMARC to reject failed checks
ISM-1799,Incoming emails are rejected if they do not pass DMARC checks.,ISM-1799,Reject incoming emails that fail DMARC
ISM-1234,Email content filtering is implemented to filter potentially harmful content in email bodies and attachments.,ISM-1234,Implement email content filtering for harmful content
ISM-1502,"Emails arriving via an external connection where the email source address uses an internal domain, or internal subdomain, are blocked at the email gateway.",ISM-1502,Block external emails spoofing internal domains
ISM-1024,Notifications of undeliverable emails are only sent to senders that can be verified via SPF or other trusted means.,ISM-1024,Send undeliverable notices only to verified senders
ISM-0518,"Network documentation is developed, implemented and maintained.",ISM-0518,Network documentation maintained
ISM-0516,"Network documentation includes high-level network diagrams showing all connections into networks and logical network diagrams showing all critical servers, high-value servers, network devices and network security appliances.",ISM-0516,Network docs include high-level & logical diagrams
ISM-1912,"Network documentation includes device settings for all critical servers, high-value servers, network devices and network security appliances.",ISM-1912,Network docs include device settings for critical assets
ISM-1178,"Network documentation provided to a third party, or published in public tender documentation, only contains details necessary for other parties to undertake contractual services.",ISM-1178,Third-party network docs limited to necessary details
ISM-1181,"Networks are segregated into multiple network zones according to the criticality of servers, services and data.",ISM-1181,Segregate networks into zones by criticality
ISM-1577,An organisation’s networks are segregated from their service providers’ networks.,ISM-1577,Segregate org networks from service providers' networks
ISM-1532,VLANs are not used to separate network traffic between an organisation’s networks and public network infrastructure.,ISM-1532,Do not use VLANs to separate org networks from public infra
ISM-0529,VLANs are not used to separate network traffic between networks belonging to different security domains.,ISM-0529,Do not use VLANs to separate different security domains
ISM-0530,Network devices managing VLANs are administered from the most trusted security domain.,ISM-0530,Admin VLAN devices administered from most trusted domain
ISM-0535,Network devices managing VLANs belonging to different security domains do not share VLAN trunks.,ISM-0535,Devices managing VLANs for different domains do not share trunks
ISM-1364,Network devices managing VLANs terminate VLANs belonging to different security domains on separate physical network interfaces.,ISM-1364,Terminate VLANs for different domains on separate physical interfaces
ISM-2068,Internet connectivity for networked devices is strictly limited to those that require access.,ISM-2068,Limit internet connectivity to only required devices
ISM-1863,Networked management interfaces for IT equipment are not directly exposed to the internet.,ISM-1863,Do not expose networked management interfaces to internet
ISM-0385,Servers maintain effective functional separation with other servers allowing them to operate independently.,ISM-0385,Servers maintain functional separation to operate independently
ISM-1479,Servers minimise communications with other servers at the network and file system level.,ISM-1479,Servers minimise inter-server communications
ISM-1781,All data communicated over network infrastructure is encrypted.,ISM-1781,Encrypt all data over network infrastructure
ISM-0521,IPv6 functionality is disabled in dual-stack network devices unless it is being used.,ISM-0521,Disable IPv6 unless used
ISM-1186,IPv6 capable network security appliances are used on IPv6 and dual-stack networks.,ISM-1186,Use IPv6-capable network security appliances
ISM-1428,"Unless explicitly required, IPv6 tunnelling is disabled on all network devices.",ISM-1428,Disable IPv6 tunnelling unless required
ISM-1429,IPv6 tunnelling is blocked by network security appliances at externally-connected network boundaries.,ISM-1429,Block IPv6 tunnelling at external boundaries
ISM-1430,Dynamically assigned IPv6 addresses are configured with Dynamic Host Configuration Protocol version 6 in a stateful manner with lease data stored in a centralised event logging facility.,ISM-1430,Configure DHCPv6 in stateful mode with central lease logging
ISM-0520,Network access controls are implemented on networks to prevent the connection of unauthorised network devices and networked IT equipment.,ISM-0520,Implement network access controls to block unauthorised devices
ISM-1182,Network access controls are implemented to limit the flow of network traffic within and between network segments to only that required for business purposes.,ISM-1182,Limit network traffic flows within/between segments to business needs
ISM-1006,Security measures are implemented to prevent unauthorised access to network management traffic.,ISM-1006,Prevent unauthorised access to network management traffic
ISM-1962,SMB version 1 is not used on networks.,ISM-1962,Do not use SMBv1
ISM-1311,SNMP version 1 and SNMP version 2 are not used on networks.,ISM-1311,Do not use SNMPv1/v2
ISM-1312,All default SNMP community strings on network devices are changed and write access is disabled.,ISM-1312,Change default SNMP community strings & disable write
ISM-1028,A NIDS or NIPS is deployed in gateways between an organisation’s networks and other networks they do not manage.,ISM-1028,Deploy NIDS/NIPS at external gateways
ISM-1030,A NIDS or NIPS is located immediately inside the outermost firewall for gateways and configured to generate event logs and alerts for network traffic that contravenes any rule in a firewall ruleset.,ISM-1030,Place NIDS/NIPS inside outermost firewall and log contraventions
ISM-1627,Inbound network connections from anonymity networks are blocked.,ISM-1627,Block inbound connections from anonymity networks
ISM-1628,Outbound network connections to anonymity networks are blocked.,ISM-1628,Block outbound connections to anonymity networks
ISM-2017,DNS traffic is encrypted by clients and servers wherever supported.,ISM-2017,Encrypt DNS traffic where supported
ISM-1782,A protective DNS service is used to block access to known malicious domain names.,ISM-1782,Use protective DNS to block malicious domains
ISM-1800,Network devices are flashed with trusted firmware before they are used for the first time.,ISM-1800,Flash network devices with trusted firmware before first use
ISM-1304,"Default user accounts or credentials for network devices, including for any pre-configured user accounts, are changed, disabled or removed during initial setup.",ISM-1304,Change/disable/remove default network device accounts/credentials
ISM-0534,Unused physical ports on network devices are disabled.,ISM-0534,Disable unused physical ports on network devices
ISM-1801,Network devices are restarted on at least a monthly basis.,ISM-1801,Restart network devices monthly
ISM-1963,Security-relevant events for internet-facing network devices are centrally logged.,ISM-1963,Log security events for internet-facing network devices
ISM-1964,Security-relevant events for non-internet-facing network devices are centrally logged.,ISM-1964,Log security events for non-internet-facing network devices
ISM-1314,All wireless devices are Wi-Fi Alliance certified.,ISM-1314,Ensure wireless devices are Wi-Fi Alliance certified
ISM-0536,Public wireless networks provided for general public use are segregated from all other organisation networks.,ISM-0536,Segregate public wireless from organisation networks
ISM-1315,The administrative interface on wireless access points is disabled for wireless network connections.,ISM-1315,Disable administrative interface for wireless client connections
ISM-1710,Settings for wireless access points are hardened.,ISM-1710,Harden wireless access point settings
ISM-1316,Default SSIDs of wireless access points are changed.,ISM-1316,Change default SSIDs
ISM-1317,"SSIDs of non-public wireless networks are not readily associated with an organisation, the location of their premises or the functionality of wireless networks.",ISM-1317,Non-public SSIDs not easily associated with org/location/function
ISM-1318,SSID broadcasting is not disabled on wireless access points.,ISM-1318,Do not disable SSID broadcasting
ISM-1320,MAC address filtering is not used to restrict which devices can connect to wireless networks.,ISM-1320,Do not use MAC filtering for wireless restrictions
ISM-1319,Static addressing is not used for assigning IP addresses on wireless networks.,ISM-1319,Do not use static addressing for wireless IP assignments
ISM-1332,WPA3-Enterprise 192-bit mode is used to protect the confidentiality and integrity of all wireless network traffic.,ISM-1332,Use WPA3-Enterprise 192-bit mode for wireless confidentiality/integrity
ISM-1321,"802.1X authentication with EAP-TLS, using X.509 certificates, is used for mutual authentication; with all other EAP methods disabled on supplicants and authentication servers.",ISM-1321,"Use 802.1X EAP-TLS with certificates, disable other EAP methods"
ISM-1711,User identity confidentiality is used if available with EAP-TLS implementations.,ISM-1711,Use user identity confidentiality if available in EAP-TLS
ISM-1322,"Evaluated supplicants, authenticators, wireless access points and authentication servers are used in wireless networks.",ISM-1322,Use evaluated supplicants/authenticators/APs/auth servers
ISM-1324,Certificates are generated using an evaluated certificate authority or hardware security module.,ISM-1324,Generate certificates using evaluated CA or HSM
ISM-1323,Certificates are required for devices and users accessing wireless networks.,ISM-1323,Require certificates for devices/users accessing wireless
ISM-1327,"Certificates are protected by logical and physical access controls, encryption, and user authentication.",ISM-1327,Protect certificates with logical/physical controls & encryption
ISM-1330,The PMK caching period is not set to greater than 1440 minutes (24 hours).,ISM-1330,Set PMK caching period <=1440 minutes (24h)
ISM-1712,The use of FT (802.11r) is disabled unless authenticator-to-authenticator communications are secured by an ASD-Approved Cryptographic Protocol.,ISM-1712,Disable 802.11r unless authenticator communication uses ASD-approved crypto
ISM-1454,Communications between authenticators and a RADIUS server are encapsulated with an additional layer of encryption using RADIUS over Internet Protocol Security or RADIUS over Transport Layer Security.,ISM-1454,Encrypt authenticator-RADIUS communications (RADIUS over IPsec/TLS)
ISM-1334,Wireless networks implement sufficient frequency separation from other wireless networks.,ISM-1334,Provide frequency separation for wireless networks
ISM-1335,Wireless access points enable the use of the 802.11w amendment to protect management frames.,ISM-1335,Enable 802.11w to protect management frames
ISM-1338,"Instead of deploying a small number of wireless access points that broadcast on high power, a greater number of wireless access points that use less broadcast power are deployed to achieve the desired footprint for wireless networks.",ISM-1338,Use more APs at lower power rather than few high-power APs
ISM-1013,The effective range of wireless communications outside an organisation’s area of control is limited by implementing RF shielding on facilities in which SECRET or TOP SECRET wireless networks are used.,ISM-1013,Limit effective wireless range outside org control with RF shielding for SECRET/TOP SECRET
ISM-1437,Cloud service providers are used for hosting online services.,ISM-1437,Use cloud service providers for hosting online services
ISM-1579,Cloud service providers’ ability to dynamically scale resources in response to a genuine spike in demand is discussed and verified as part of capacity and availability planning for online services.,ISM-1579,Verify cloud provider scaling for capacity planning
ISM-1580,"Where a high availability requirement exists for online services, the services are architected to automatically transition between availability zones.",ISM-1580,Architect high-availability services to transition between availability zones
ISM-1581,Continuous real-time monitoring of the capacity and availability of online services is performed.,ISM-1581,Continuously monitor capacity & availability of online services
ISM-1438,"Where a high availability requirement exists for website hosting, CDNs that cache websites are used.",ISM-1438,Use CDNs for high-availability website hosting
ISM-1439,"If using CDNs, disclosing the IP addresses of web servers under an organisation’s control (referred to as origin servers) is avoided and access to the origin servers is restricted to the CDNs and authorised management networks.",ISM-1439,Avoid exposing origin server IPs when using CDNs and restrict access
ISM-1431,"Denial-of-service attack mitigation strategies are discussed with cloud service providers, specifically:
• their capacity to withstand denial-of-service attacks
• costs likely to be incurred as a result of denial-of-service attacks
• availability monitoring and thresholds for notification of denial-of-service attacks
• thresholds for turning off any online services or functionality during denial-of-service attacks
• pre-approved actions that can be undertaken during denial-of-service attacks
• any arrangements with upstream service providers to block malicious network traffic as far upstream as possible.",ISM-1431,Discuss DDoS mitigation with cloud providers and document thresholds/actions
ISM-1436,Critical online services are segregated from other online services that are more likely to be targeted as part of denial-of-service attacks.,ISM-1436,Segregate critical online services from others likely targeted for DDoS
ISM-1432,Domain names for online services are protected via registrar locking and confirming that domain registration details are correct.,ISM-1432,Protect domain names with registrar locking and correct registration details
ISM-0499,Communications security doctrine and policy produced by ASD for the management and operation of HACE is complied with.,ISM-0499,Comply with ASD HACE communications doctrine
ISM-1802,HACE are issued an Approval for Use by ASD and operated in accordance with the latest version of their associated Australian Communications Security Instructions.,ISM-1802,Obtain ASD Approval for HACE use and follow instructions
ISM-0507,"Cryptographic key management processes, and supporting cryptographic key management procedures, are developed, implemented and maintained.",ISM-0507,Cryptographic key management processes maintained
ISM-1080,An ASD-Approved Cryptographic Algorithm (AACA) or high assurance cryptographic algorithm is used when encrypting media.,ISM-1080,Use ASD-Approved Cryptographic Algorithms for media encryption
ISM-0459,"Full disk encryption, or partial encryption where access controls will only allow writing to the encrypted partition, is implemented when encrypting data at rest.",ISM-0459,Use full/partial disk encryption or partitioning for data at rest
ISM-0469,An ASD-Approved Cryptographic Protocol (AACP) or high assurance cryptographic protocol is used to protect data when communicated over network infrastructure.,ISM-0469,Use ASD-Approved Cryptographic Protocols for data in transit
ISM-0457,"Cryptographic equipment, applications or libraries that have completed a Common Criteria evaluation against an ASD-endorsed Protection Profile are used when encrypting media that contains OFFICIAL: Sensitive or PROTECTED data.",ISM-0457,Use CC-evaluated cryptographic equipment/libraries for OFFICIAL/PROTECTED media
ISM-0460,HACE is used when encrypting media that contains SECRET or TOP SECRET data.,ISM-0460,Use HACE for SECRET/TOP SECRET media encryption
ISM-0465,"Cryptographic equipment, applications or libraries that have completed a Common Criteria evaluation against an ASD-endorsed Protection Profile are used to protect OFFICIAL: Sensitive or PROTECTED data when communicated over insufficiently secure networks, outside of appropriately secure areas or via public network infrastructure.",ISM-0465,Use CC-evaluated cryptographic tools for OFFICIAL/PROTECTED over insecure channels
ISM-0467,"HACE is used to protect SECRET and TOP SECRET data when communicated over insufficiently secure networks, outside of appropriately secure areas or via public network infrastructure.",ISM-0467,Use HACE for SECRET/TOP SECRET over insecure channels
ISM-0455,"Where practical, cryptographic equipment, applications and libraries provide a means of data recovery to allow for circumstances where the encryption key is unavailable due to loss, damage or failure.",ISM-0455,Encryption tools provide data recovery methods where practical
ISM-0462,"When a user authenticates to the encryption functionality of IT equipment or media, it is treated in accordance with its original sensitivity or classification until the user deauthenticates from the encryption functionality.",ISM-0462,Treat user-authenticated encryption as classified until deauthenticating
ISM-0501,Keyed cryptographic equipment is transported based on the sensitivity or classification of its keying material.,ISM-0501,Transport keyed cryptographic equipment per keying sensitivity
ISM-0142,"The compromise or suspected compromise of cryptographic equipment or associated keying material is reported to the chief information security officer, or one of their delegates, as soon as possible after it occurs.",ISM-0142,Report compromise of cryptographic equipment/keying to CISO promptly
ISM-1091,Keying material is changed when compromised or suspected of being compromised.,ISM-1091,Change keying material when compromised
ISM-0471,"Only AACAs or high assurance cryptographic algorithms are used by cryptographic equipment, applications and libraries.",ISM-0471,Only use AACAs/high-assurance algorithms for cryptography
ISM-0994,ECDH is used in preference to DH.,ISM-0994,Prefer ECDH over DH
ISM-0472,"When using DH for agreeing on encryption session keys, a modulus of at least 2048 bits is used, preferably 3072 bits.",ISM-0472,Use DH modulus >=2048 bits (prefer 3072)
ISM-1759,"When using DH for agreeing on encryption session keys, a modulus of at least 3072 bits is used, preferably 3072 bits.",ISM-1759,Use DH modulus >=3072 bits
ISM-1629,"When using DH for agreeing on encryption session keys, a modulus and associated parameters are selected according to NIST SP 800-56A Rev. 3.",ISM-1629,Select DH parameters per NIST SP 800-56A Rev.3
ISM-1446,"When using elliptic curve cryptography, a suitable curve from NIST SP 800-186 is used.",ISM-1446,Use suitable NIST curves for ECC
ISM-0474,"When using ECDH for agreeing on encryption session keys, a base point order and key size of at least 224 bits is used, preferably the NIST P-384 curve.",ISM-0474,"Use ECDH base/keysize >=224 bits, prefer P-384"
ISM-1761,"When using ECDH for agreeing on encryption session keys, NIST P-256, P-384 or P-521 curves are used, preferably the NIST P-384 curve.",ISM-1761,"Use NIST P-256/P-384/P-521 for ECDH, prefer P-384"
ISM-1762,"When using ECDH for agreeing on encryption session keys, NIST P-384 or P-521 curves are used, preferably the NIST P-384 curve.",ISM-1762,"Use P-384/P-521 for ECDH, prefer P-384"
ISM-0475,"When using ECDSA for digital signatures, a base point order and key size of at least 224 bits is used, preferably the P-384 curve.",ISM-0475,"Use ECDSA base/keysize >=224 bits, prefer P-384"
ISM-1763,"When using ECDSA for digital signatures, NIST P-256, P-384 or P-521 curves are used, preferably the NIST P-384 curve.",ISM-1763,"Use NIST P-256/P-384/P-521 for ECDSA, prefer P-384"
ISM-1764,"When using ECDSA for digital signatures, NIST P-384 or P-521 curves are used, preferably the NIST P-384 curve.",ISM-1764,"Use P-384/P-521 for ECDSA, prefer P-384"
ISM-1990,"When using ML-DSA and ML-KEM, as per FIPS 204 and FIPS 203 respectively, adherence to pre-requisite FIPS publications is preferred.",ISM-1990,Follow FIPS guidance when using ML-DSA/ML-KEM
ISM-1991,"When using ML-DSA for digital signatures, ML-DSA-65 or ML-DSA-87 is used, preferably ML-DSA-87.",ISM-1991,"Use ML-DSA-65/87 for ML-DSA, prefer 87"
ISM-1992,"When using ML-DSA for digital signatures, the hedged variant is used whenever possible.",ISM-1992,Use hedged variant of ML-DSA when possible
ISM-1993,Pre-hashed variants of ML-DSA-65 and ML-DSA-87 are only used when the performance of default variants is unacceptable.,ISM-1993,Use pre-hashed ML-DSA variants only if necessary
ISM-1994,"When the pre-hashed variants of ML-DSA-65 and ML-DSA-87 are used, at least SHA-384 and SHA-512 respectively are used for pre-hashing.",ISM-1994,Use SHA-384/SHA-512 for pre-hashed ML-DSA variants
ISM-1995,"When using ML-KEM for encapsulating encryption session keys (and similar keys), ML-KEM-768 or ML-KEM-1024 is used, preferably ML-KEM-1024.",ISM-1995,"Use ML-KEM-768/1024 for key encapsulation, prefer 1024"
ISM-0476,"When using RSA for digital signatures, and transporting encryption session keys (and similar keys), a modulus of at least 2048 bits is used, preferably 3072 bits.",ISM-0476,Use RSA modulus >=2048 (prefer 3072)
ISM-1765,"When using RSA for digital signatures, and transporting encryption session keys (and similar keys), a modulus of at least 3072 bits is used, preferably 3072 bits.",ISM-1765,Use RSA modulus >=3072 (prefer 3072)
ISM-0477,"When using RSA for digital signatures, and for transporting encryption session keys (and similar keys), a different key pair is used for digital signatures and transporting encryption session keys.",ISM-0477,Use separate RSA keys for signatures and key transport
ISM-1766,"When using SHA-2 for hashing, an output size of at least 224 bits is used, preferably SHA-384 or SHA-512.",ISM-1766,Use SHA-2 with output >=224 bits
ISM-1767,"When using SHA-2 for hashing, an output size of at least 256 bits is used, preferably SHA-384 or SHA-512.",ISM-1767,"Use SHA-2 output >=256 bits, prefer SHA-384/512"
ISM-1768,"When using SHA-2 for hashing, an output size of at least 384 bits is used, preferably SHA-384 or SHA-512.",ISM-1768,"Use SHA-2 output >=384 bits, prefer SHA-384/512"
ISM-1769,"When using AES for encryption, AES-128, AES-192 or AES-256 is used, preferably AES-256.",ISM-1769,"Use AES for encryption, prefer AES-256"
ISM-1770,"When using AES for encryption, AES-192 or AES-256 is used, preferably AES-256.",ISM-1770,"Use AES-192/256 for encryption, prefer AES-256"
ISM-0479,Symmetric cryptographic algorithms are not used in Electronic Codebook Mode.,ISM-0479,Do not use ECB mode for symmetric algorithms
ISM-2073,"A post-quantum cryptography transition plan is developed, implemented and maintained.",ISM-2073,Develop post-quantum cryptography transition plan
ISM-1917,"The development and procurement of new cryptographic equipment, applications and libraries ensures support for the use of ML-DSA-87, ML-KEM-1024, SHA-384, SHA-512 and AES-256 by no later than 2030.",ISM-1917,Procure/develop crypto to support PQ algorithms by 2030
ISM-1996,"When a post-quantum traditional hybrid scheme is used, either the post-quantum cryptographic algorithm, the traditional cryptographic algorithm or both are AACAs.",ISM-1996,Use AACA or hybrid schemes for post-quantum transition
ISM-0481,"Only AACPs or high assurance cryptographic protocols are used by cryptographic equipment, applications and libraries.",ISM-0481,Use only AACPs/high-assurance cryptographic protocols
ISM-1139,Only the latest version of TLS is used for TLS connections.,ISM-1139,Use latest TLS version
ISM-1369,AES-GCM is used for encryption of TLS connections.,ISM-1369,Use AES-GCM for TLS encryption
ISM-1370,Only server-initiated secure renegotiation is used for TLS connections.,ISM-1370,Only allow server-initiated secure renegotiation in TLS
ISM-1372,DH or ECDH is used for key establishment of TLS connections.,ISM-1372,Use DH/ECDH for TLS key establishment
ISM-1448,"When using DH or ECDH for key establishment of TLS connections, the ephemeral variant is used.",ISM-1448,Use ephemeral DH/ECDH for TLS key establishment
ISM-1373,Anonymous DH is not used for TLS connections.,ISM-1373,Do not use anonymous DH in TLS
ISM-1374,SHA-2-based certificates are used for TLS connections.,ISM-1374,Use SHA-2-based certificates for TLS
ISM-1375,SHA-2 is used for the Hash-based Message Authentication Code (HMAC) and pseudorandom function (PRF) for TLS connections.,ISM-1375,Use SHA-2 for HMAC/PRF in TLS
ISM-1553,TLS compression is disabled for TLS connections.,ISM-1553,Disable TLS compression
ISM-1453,Perfect Forward Secrecy (PFS) is used for TLS connections.,ISM-1453,Use Perfect Forward Secrecy in TLS
ISM-1506,The use of SSH version 1 is disabled for SSH connections.,ISM-1506,Disable SSHv1
ISM-0484,"The SSH daemon is configured to:
• only listen on the required interfaces (ListenAddress xxx.xxx.xxx.xxx)
• have a suitable login banner (Banner x)
• have a login authentication timeout of no more than 60 seconds (LoginGraceTime 60)
• disable host-based authentication (HostbasedAuthentication no)
• disable rhosts-based authentication (IgnoreRhosts yes)
• disable the ability to login directly as root (PermitRootLogin no)
• disable empty passwords (PermitEmptyPasswords no)
• disable connection forwarding (AllowTCPForwarding no)
• disable gateway ports (GatewayPorts no)
• disable X11 forwarding (X11Forwarding no).",ISM-0484,Configure SSH daemon with secure settings
ISM-0485,Public key-based authentication is used for SSH connections.,ISM-0485,Use public key authentication for SSH
ISM-1449,SSH private keys are protected with a password or a key encryption key.,ISM-1449,Protect SSH private keys with passphrase/key encryption
ISM-0487,"When using logins without a password for SSH connections, the following are disabled:
• access from IP addresses that do not require access
• port forwarding
• agent credential forwarding
• X11 forwarding
• console access.",ISM-0487,When using passwordless SSH restrict forwarding/X11/console and IPs
ISM-0488,"If using remote access without the use of a password for SSH connections, the ‘forced command’ option is used to specify what command is executed and parameter checking is enabled.",ISM-0488,Use forced command and parameter checking for passwordless SSH
